Scenario,Rate,Tenor,IO Months,Leverage,Min DSCR Post,Overall Viable
low,0.11,10,0,3.0,1.37,False
low,0.11,10,12,1.5,2.49,True
low,0.11,10,12,1.75,2.16,True
low,0.11,10,12,2.0,1.91,True
low,0.11,10,12,2.25,1.72,True
low,0.11,10,12,2.5,1.56,False
low,0.11,10,12,2.75,1.44,False
low,0.11,10,12,3.0,1.33,False
low,0.11,10,24,1.5,2.32,True
low,0.11,10,24,1.75,2.01,True
low,0.11,10,24,2.0,1.78,True
low,0.11,10,24,2.25,1.60,False
low,0.11,10,24,2.5,1.45,False
low,0.11,10,24,2.75,1.34,False
low,0.11,10,24,3.0,1.24,False
low,0.12,7,0,1.5,2.01,True
low,0.12,7,0,1.75,1.74,True
low,0.12,7,0,2.0,1.54,False
low,0.12,7,0,2.25,1.39,False
low,0.12,7,0,2.5,1.26,False
low,0.12,7,0,2.75,1.16,False
low,0.12,7,0,3.0,1.08,False
low,0.12,7,12,1.5,1.87,True
low,0.12,7,12,1.75,1.63,False
low,0.12,7,12,2.0,1.44,False
low,0.12,7,12,2.25,1.30,False
low,0.12,7,12,2.5,1.18,False
low,0.12,7,12,2.75,1.09,False
low,0.12,7,12,3.0,1.01,False
low,0.12,7,24,1.5,1.65,False
low,0.12,7,24,1.75,1.43,False
low,0.12,7,24,2.0,1.27,False
low,0.12,7,24,2.25,1.14,False
low,0.12,7,24,2.5,1.04,False
low,0.12,7,24,2.75,0.95,False
low,0.12,7,24,3.0,0.88,False
low,0.12,8,0,1.5,2.18,True
low,0.12,8,0,1.75,1.90,True
low,0.12,8,0,2.0,1.68,False
low,0.12,8,0,2.25,1.51,False
low,0.12,8,0,2.5,1.38,False
low,0.12,8,0,2.75,1.26,False
low,0.12,8,0,3.0,1.17,False
low,0.12,8,12,1.5,2.08,True
low,0.12,8,12,1.75,1.80,True
low,0.12,8,12,2.0,1.60,False
low,0.12,8,12,2.25,1.44,False
low,0.12,8,12,2.5,1.31,False
low,0.12,8,12,2.75,1.20,False
low,0.12,8,12,3.0,1.11,False
low,0.12,8,24,1.5,1.87,True
low,0.12,8,24,1.75,1.63,False
low,0.12,8,24,2.0,1.44,False
low,0.12,8,24,2.25,1.30,False
low,0.12,8,24,2.5,1.18,False
low,0.12,8,24,2.75,1.09,False
low,0.12,8,24,3.0,1.01,False
low,0.12,9,0,1.5,2.34,True
low,0.12,9,0,1.75,2.03,True
low,0.12,9,0,2.0,1.80,True
low,0.12,9,0,2.25,1.62,False
low,0.12,9,0,2.5,1.48,False
low,0.12,9,0,2.75,1.36,False
low,0.12,9,0,3.0,1.26,False
low,0.12,9,12,1.5,2.26,True
low,0.12,9,12,1.75,1.96,True
low,0.12,9,12,2.0,1.73,True
low,0.12,9,12,2.25,1.56,False
low,0.12,9,12,2.5,1.42,False
low,0.12,9,12,2.75,1.31,False
low,0.12,9,12,3.0,1.21,False
low,0.12,9,24,1.5,2.08,True
low,0.12,9,24,1.75,1.80,True
low,0.12,9,24,2.0,1.60,False
low,0.12,9,24,2.25,1.44,False
low,0.12,9,24,2.5,1.31,False
low,0.12,9,24,2.75,1.20,False
low,0.12,9,24,3.0,1.11,False
low,0.12,10,0,1.5,2.49,True
low,0.12,10,0,1.75,2.16,True
low,0.12,10,0,2.0,1.91,True
low,0.12,10,0,2.25,1.72,True
low,0.12,10,0,2.5,1.56,False
low,0.12,10,0,2.75,1.44,False
low,0.12,10,0,3.0,1.33,False
low,0.12,10,12,1.5,2.41,True
low,0.12,10,12,1.75,2.09,True
low,0.12,10,12,2.0,1.85,True
low,0.12,10,12,2.25,1.67,False
low,0.12,10,12,2.5,1.52,False
low,0.12,10,12,2.75,1.40,False
low,0.12,10,12,3.0,1.30,False
low,0.12,10,24,1.5,2.26,True
low,0.12,10,24,1.75,1.96,True
low,0.12,10,24,2.0,1.73,True
low,0.12,10,24,2.25,1.56,False
low,0.12,10,24,2.5,1.42,False
low,0.12,10,24,2.75,1.31,False
low,0.12,10,24,3.0,1.21,False
